"month","borough","day_type","trip_type","route_id","period","number_of_trips_passing_wait","number_of_scheduled_trips","wait_assessment"
"2020-01-01","Brooklyn","1","LCL/LTD","B17","Peak","4,434","6,410","69.17317%"
"2020-01-01","Brooklyn","2","LCL/LTD","B17","Off-Peak","4,665","5,725","81.48472%"
"2020-01-01","Brooklyn","2","LCL/LTD","B17","Peak","1,651","2,147","76.897997%"
"2020-01-01","Brooklyn","1","LCL/LTD","B2","Off-Peak","2,841","3,287","86.431396%"
"2020-01-01","Brooklyn","1","LCL/LTD","B2","Peak","1,350","1,694","79.69303%"
"2020-01-01","Brooklyn","2","LCL/LTD","B2","Off-Peak","1,203","1,530","78.62745%"
"2020-01-01","Brooklyn","2","LCL/LTD","B2","Peak","411","542","75.830257%"
"2020-01-01","Brooklyn","1","LCL/LTD","B20","Off-Peak","13,152","17,197","76.47846%"
"2020-01-01","Brooklyn","1","LCL/LTD","B20","Peak","5,345","8,266","64.662474%"
"2020-01-01","Brooklyn","2","LCL/LTD","B20","Off-Peak","4,608","6,065","75.976914%"
"2020-01-01","Brooklyn","2","LCL/LTD","B20","Peak","1,715","2,423","70.780027%"
"2020-01-01","Brooklyn","1","LCL/LTD","B24","Off-Peak","3,523","4,641","75.910366%"
"2020-01-01","Brooklyn","1","LCL/LTD","B24","Peak","1,546","2,205","70.11338%"
"2020-01-01","Brooklyn","2","LCL/LTD","B24","Off-Peak","1,818","2,237","81.269556%"
"2020-01-01","Brooklyn","2","LCL/LTD","B24","Peak","670","829","80.82026%"
"2020-01-01","Brooklyn","1","LCL/LTD","B25","Off-Peak","11,204","15,281","73.31981%"
"2020-01-01","Brooklyn","1","LCL/LTD","B25","Peak","4,066","6,232","65.2439%"
"2020-01-01","Brooklyn","2","LCL/LTD","B25","Off-Peak","4,077","5,764","70.73213%"
"2020-01-01","Brooklyn","2","LCL/LTD","B25","Peak","1,404","2,079","67.53247%"
"2020-01-01","Brooklyn","1","LCL/LTD","B26","Off-Peak","12,048","14,453","83.359855%"
"2020-01-01","Brooklyn","1","LCL/LTD","B26","Peak","4,902","6,774","72.364926%"
"2020-01-01","Brooklyn","2","LCL/LTD","B26","Off-Peak","4,952","6,365","77.80047%"
"2020-01-01","Brooklyn","2","LCL/LTD","B26","Peak","1,811","2,422","74.77291%"
"2020-01-01","Brooklyn","1","LCL/LTD","B3","Off-Peak","17,420","21,065","82.696414%"
"2020-01-01","Brooklyn","1","LCL/LTD","B3","Peak","6,699","9,356","71.60111%"
"2020-01-01","Brooklyn","2","LCL/LTD","B3","Off-Peak","7,531","8,877","84.83722%"
"2020-01-01","Brooklyn","2","LCL/LTD","B3","Peak","3,078","3,686","83.505154%"
"2020-01-01","Brooklyn","1","LCL/LTD","B31","Off-Peak","3,006","3,363","89.38448%"
"2020-01-01","Brooklyn","1","LCL/LTD","B31","Peak","1,550","1,824","84.97807%"
"2020-01-01","Brooklyn","2","LCL/LTD","B31","Off-Peak","1,482","1,712","86.565423%"
"2020-01-01","Brooklyn","2","LCL/LTD","B31","Peak","555","621","89.37198%"
"2020-01-01","Brooklyn","1","LCL/LTD","B32","Off-Peak","1,199","1,487","80.632144%"
"2020-01-01","Brooklyn","1","LCL/LTD","B32","Peak","549","833","65.906364%"
"2020-01-01","Brooklyn","2","LCL/LTD","B32","Off-Peak","541","706","76.628894%"
"2020-01-01","Brooklyn","2","LCL/LTD","B32","Peak","298","386","77.20207%"
"2020-01-01","Brooklyn","1","LCL/LTD","B35","Off-Peak","17,124","22,877","74.85247%"
"2020-01-01","Brooklyn","1","LCL/LTD","B35","Peak","5,612","8,525","65.829915%"
